BI,548,331
CO,261,309
FI,537,128
DZ,475,219
SA,595,253
CV,399,276
FM,864,297
AL,521,203
HK,780,258
CN,783,204
VI,289,270
PA,246,297
MN,760,182
SS,551,304
SE,513,136
LS,543,405
PH,797,282
KZ,665,170
MU,620,375
CH,488,182
MK,526,200
NP,699,243
MQ,298,280
CK,27,366
SO,591,313
CZ,506,172
AS,984,342
SG,751,317
PM,310,183
TL,811,345
BB,305,283
CA,254,187
PT,442,209
PR,284,271
AE,616,254
KI,994,326
PY,309,391
EE,536,137
SZ,552,396
IR,607,221
CF,516,306
DK,496,152
FO,444,123
MF,299,272
TC,267,269
CM,498,310
LB,564,225
DJ,582,290
VU,921,362
BZ,222,275
CW,278,286
CR,235,295
PS,562,231
IL,563,229
WF,975,355
TZ,570,343
TH,742,281
ZA,520,417
BT,714,244
SN,421,281
KN,295,277
SC,613,330
CU,242,258
ZW,549,373
BH,605,247
JE,459,175
CY,557,222
NG,487,296
ET,574,298
UM,39,267
AM,588,205
VG,289,271
VA,499,198
YE,590,279
NA,513,386
KG,673,199
VC,298,283
NC,920,380
IE,447,161
ME,518,196
AF,652,223
AQ,639,481
BA,515,192
LK,687,302
ST,484,323
LI,494,181
BO,282,364
MA,445,228
SK,518,176
IM,453,157
TJ,657,209
TN,492,220
BD,712,255
BR,335,367
TK,996,341
AI,294,271
GY,304,305
PG,861,339
LU,483,172
NZ,947,440
PL,523,163
SM,498,193
LV,533,146
UY,312,418
MZ,563,372
QA,606,251
SL,434,298
CD,518,331
SR,312,310
PK,651,243
BW,534,386
KR,817,216
AT,506,181
ZM,543,362
HR,508,190
KP,813,207
AG,294,276
SY,570,222
JM,254,272
GL,345,128
BF,461,287
RS,523,194
GP,293,279
JP,848,216
IO,667,326
KE,568,322
LR,439,305
MD,544,181
NF,928,398
GH,463,301
GG,458,173
EG,551,237
LC,298,283
ES,456,205
GF,320,310
MX,190,264
SB,893,339
MV,672,313
BG,539,196
IN,677,247
AU,877,418
GM,423,285
DE,500,163
TT,298,292
MP,866,281
GI,451,218
BQ,278,287
ID,760,340
NE,488,275
GW,425,289
GU,855,281
US,250,214
TG,469,299
BJ,473,295
DM,296,278
HN,227,281
AW,273,285
MG,593,375
BN,782,310
SV,222,284
MW,561,361
HT,266,269
AD,470,197
GE,585,199
KW,597,239
GA,497,323
GT,218,278
LT,534,152
BY,542,157
BE,479,170
MH,931,307
BM,288,230
BL,295,271
IQ,586,225
PW,833,299
TD,513,285
YT,588,355
CL,271,418
AO,508,350
MS,295,278
PF,44,374
NI,232,286
RE,618,382
BS,252,254
GB,464,164
WS,981,354
NU,8,365
HU,518,181
LA,747,269
SX,298,271
MC,485,195
FJ,952,367
IS,409,114
KY,242,270
NR,909,320
GR,528,209
SI,506,186
LY,503,231
MR,429,268
VE,281,295
TO,979,371
CG,520,333
TW,798,254
GN,430,292
EC,249,325
IT,499,196
GQ,495,318
UZ,646,203
TM,628,209
RU,568,148
JO,565,234
AR,285,414
TR,555,207
KH,753,289
AZ,601,205
NO,492,131
TV,961,333
MM,729,263
FK,302,479
OM,624,261
NL,480,163
VN,756,263
DO,272,269
RO,537,188
KM,585,351
ML,448,284
SD,555,272
ER,571,279
MY,748,312
PE,257,353
UA,550,171
GD,295,284
MO,777,269
RW,548,326
UG,555,320
CI,452,304
AX,520,132
MT,505,219
FR,471,178
